hex_id,north_east_neighbor,north_neighbor,north_west_neighbor,south_east_neighbor,south_neighbor,south_west_neighbor,east,north_east,north_west,south_east,south_west,west
0,239.0,1.0,193.0,238.0,250.0,192.0,"[-73.93333317169989, 40.58774284807021]","[-73.93999984147489, 40.59928985883779]","[-73.9533331810249, 40.59928985883779]","[-73.93999984147489, 40.57619583730262]","[-73.9533331810249, 40.57619583730262]","[-73.9599998507999, 40.58774284807021]"
1,240.0,2.0,194.0,239.0,0.0,193.0,"[-73.93333317169989, 40.61083686960538]","[-73.93999984147489, 40.62238388037297]","[-73.9533331810249, 40.62238388037297]","[-73.93999984147489, 40.59928985883779]","[-73.9533331810249, 40.59928985883779]","[-73.9599998507999, 40.61083686960538]"
2,241.0,3.0,195.0,240.0,1.0,194.0,"[-73.93333317169989, 40.63393089114056]","[-73.93999984147489, 40.645477901908144]","[-73.9533331810249, 40.645477901908144]","[-73.93999984147489, 40.62238388037297]","[-73.9533331810249, 40.62238388037297]","[-73.9599998507999, 40.63393089114056]"
3,242.0,4.0,196.0,241.0,2.0,195.0,"[-73.93333317169989, 40.65702491267573]","[-73.93999984147489, 40.66857192344332]","[-73.9533331810249, 40.66857192344332]","[-73.93999984147489, 40.645477901908144]","[-73.9533331810249, 40.645477901908144]","[-73.9599998507999, 40.65702491267573]"
4,243.0,5.0,197.0,242.0,3.0,196.0,"[-73.93333317169989, 40.68011893421091]","[-73.93999984147489, 40.691665944978496]","[-73.9533331810249, 40.691665944978496]","[-73.93999984147489, 40.66857192344332]","[-73.9533331810249, 40.66857192344332]","[-73.9599998507999, 40.68011893421091]"
5,24.0,6.0,198.0,243.0,4.0,197.0,"[-73.93333317169989, 40.70321295574608]","[-73.93999984147489, 40.71475996651367]","[-73.9533331810249, 40.71475996651367]","[-73.93999984147489, 40.691665944978496]","[-73.9533331810249, 40.691665944978496]","[-73.9599998507999, 40.70321295574608]"
6,25.0,7.0,199.0,24.0,5.0,198.0,"[-73.93333317169989, 40.726306977281254]","[-73.93999984147489, 40.73785398804885]","[-73.9533331810249, 40.73785398804885]","[-73.93999984147489, 40.71475996651367]","[-73.9533331810249, 40.71475996651367]","[-73.9599998507999, 40.726306977281254]"
7,26.0,8.0,200.0,25.0,6.0,199.0,"[-73.93333317169989, 40.749400998816434]","[-73.93999984147489, 40.76094800958402]","[-73.9533331810249, 40.76094800958402]","[-73.93999984147489, 40.73785398804885]","[-73.9533331810249, 40.73785398804885]","[-73.9599998507999, 40.749400998816434]"
8,27.0,227.0,201.0,26.0,7.0,200.0,"[-73.93333317169989, 40.772495020351606]","[-73.93999984147489, 40.78404203111919]","[-73.9533331810249, 40.78404203111919]","[-73.93999984147489, 40.76094800958402]","[-73.9533331810249, 40.76094800958402]","[-73.9599998507999, 40.772495020351606]"
9,62.0,10.0,240.0,61.0,40.0,239.0,"[-73.89333315304988, 40.61083686960538]","[-73.89999982282488, 40.62238388037297]","[-73.91333316237488, 40.62238388037297]","[-73.89999982282488, 40.59928985883779]","[-73.91333316237488, 40.59928985883779]","[-73.91999983214988, 40.61083686960538]"
10,63.0,11.0,241.0,62.0,9.0,240.0,"[-73.89333315304988, 40.63393089114056]","[-73.89999982282488, 40.645477901908144]","[-73.91333316237488, 40.645477901908144]","[-73.89999982282488, 40.62238388037297]","[-73.91333316237488, 40.62238388037297]","[-73.91999983214988, 40.63393089114056]"
11,64.0,12.0,242.0,63.0,10.0,241.0,"[-73.89333315304988, 40.65702491267573]","[-73.89999982282488, 40.66857192344332]","[-73.91333316237488, 40.66857192344332]","[-73.89999982282488, 40.645477901908144]","[-73.91333316237488, 40.645477901908144]","[-73.91999983214988, 40.65702491267573]"
12,65.0,13.0,243.0,64.0,11.0,242.0,"[-73.89333315304988, 40.68011893421091]","[-73.89999982282488, 40.691665944978496]","[-73.91333316237488, 40.691665944978496]","[-73.89999982282488, 40.66857192344332]","[-73.91333316237488, 40.66857192344332]","[-73.91999983214988, 40.68011893421091]"
13,66.0,14.0,24.0,65.0,12.0,243.0,"[-73.89333315304988, 40.70321295574608]","[-73.89999982282488, 40.71475996651367]","[-73.91333316237488, 40.71475996651367]","[-73.89999982282488, 40.691665944978496]","[-73.91333316237488, 40.691665944978496]","[-73.91999983214988, 40.70321295574608]"
14,67.0,15.0,25.0,66.0,13.0,24.0,"[-73.89333315304988, 40.726306977281254]","[-73.89999982282488, 40.73785398804885]","[-73.91333316237488, 40.73785398804885]","[-73.89999982282488, 40.71475996651367]","[-73.91333316237488, 40.71475996651367]","[-73.91999983214988, 40.726306977281254]"
15,68.0,16.0,26.0,67.0,14.0,25.0,"[-73.89333315304988, 40.749400998816434]","[-73.89999982282488, 40.76094800958402]","[-73.91333316237488, 40.76094800958402]","[-73.89999982282488, 40.73785398804885]","[-73.91333316237488, 40.73785398804885]","[-73.91999983214988, 40.749400998816434]"
16,69.0,17.0,27.0,68.0,15.0,26.0,"[-73.89333315304988, 40.772495020351606]","[-73.89999982282488, 40.78404203111919]","[-73.91333316237488, 40.78404203111919]","[-73.89999982282488, 40.76094800958402]","[-73.91333316237488, 40.76094800958402]","[-73.91999983214988, 40.772495020351606]"
17,70.0,18.0,28.0,69.0,16.0,27.0,"[-73.89333315304988, 40.795589041886785]","[-73.89999982282488, 40.80713605265437]","[-73.91333316237488, 40.80713605265437]","[-73.89999982282488, 40.78404203111919]","[-73.91333316237488, 40.78404203111919]","[-73.91999983214988, 40.795589041886785]"
18,71.0,19.0,29.0,70.0,17.0,28.0,"[-73.89333315304988, 40.81868306342196]","[-73.89999982282488, 40.830230074189544]","[-73.91333316237488, 40.830230074189544]","[-73.89999982282488, 40.80713605265437]","[-73.91333316237488, 40.80713605265437]","[-73.91999983214988, 40.81868306342196]"
19,72.0,20.0,30.0,71.0,18.0,29.0,"[-73.89333315304988, 40.84177708495713]","[-73.89999982282488, 40.85332409572472]","[-73.91333316237488, 40.85332409572472]","[-73.89999982282488, 40.830230074189544]","[-73.91333316237488, 40.830230074189544]","[-73.91999983214988, 40.84177708495713]"
20,73.0,,31.0,72.0,19.0,30.0,"[-73.89333315304988, 40.86487110649231]","[-73.89999982282488, 40.876418117259895]","[-73.91333316237488, 40.876418117259895]","[-73.89999982282488, 40.85332409572472]","[-73.91333316237488, 40.85332409572472]","[-73.91999983214988, 40.86487110649231]"
21,42.0,22.0,33.0,41.0,,32.0,"[-74.13333326494995, 40.541554804999855]","[-74.13999993472495, 40.55310181576744]","[-74.15333327427496, 40.55310181576744]","[-74.13999993472495, 40.53000779423227]","[-74.15333327427496, 40.53000779423227]","[-74.15999994404996, 40.541554804999855]"
22,43.0,23.0,34.0,42.0,21.0,33.0,"[-74.13333326494995, 40.564648826535034]","[-74.13999993472495, 40.57619583730262]","[-74.15333327427496, 40.57619583730262]","[-74.13999993472495, 40.55310181576744]","[-74.15333327427496, 40.55310181576744]","[-74.15999994404996, 40.564648826535034]"
23,44.0,57.0,35.0,43.0,22.0,34.0,"[-74.13333326494995, 40.58774284807021]","[-74.13999993472495, 40.59928985883779]","[-74.15333327427496, 40.59928985883779]","[-74.13999993472495, 40.57619583730262]","[-74.15333327427496, 40.57619583730262]","[-74.15999994404996, 40.58774284807021]"
24,14.0,25.0,6.0,13.0,243.0,5.0,"[-73.91333316237488, 40.71475996651367]","[-73.91999983214988, 40.726306977281254]","[-73.93333317169989, 40.726306977281254]","[-73.91999983214988, 40.70321295574608]","[-73.93333317169989, 40.70321295574608]","[-73.93999984147489, 40.71475996651367]"
25,15.0,26.0,7.0,14.0,24.0,6.0,"[-73.91333316237488, 40.73785398804885]","[-73.91999983214988, 40.749400998816434]","[-73.93333317169989, 40.749400998816434]","[-73.91999983214988, 40.726306977281254]","[-73.93333317169989, 40.726306977281254]","[-73.93999984147489, 40.73785398804885]"
26,16.0,27.0,8.0,15.0,25.0,7.0,"[-73.91333316237488, 40.76094800958402]","[-73.91999983214988, 40.772495020351606]","[-73.93333317169989, 40.772495020351606]","[-73.91999983214988, 40.749400998816434]","[-73.93333317169989, 40.749400998816434]","[-73.93999984147489, 40.76094800958402]"
27,17.0,28.0,227.0,16.0,26.0,8.0,"[-73.91333316237488, 40.78404203111919]","[-73.91999983214988, 40.795589041886785]","[-73.93333317169989, 40.795589041886785]","[-73.91999983214988, 40.772495020351606]","[-73.93333317169989, 40.772495020351606]","[-73.93999984147489, 40.78404203111919]"
28,18.0,29.0,228.0,17.0,27.0,227.0,"[-73.91333316237488, 40.80713605265437]","[-73.91999983214988, 40.81868306342196]","[-73.93333317169989, 40.81868306342196]","[-73.91999983214988, 40.795589041886785]","[-73.93333317169989, 40.795589041886785]","[-73.93999984147489, 40.80713605265437]"
29,19.0,30.0,229.0,18.0,28.0,228.0,"[-73.91333316237488, 40.830230074189544]","[-73.91999983214988, 40.84177708495713]","[-73.93333317169989, 40.84177708495713]","[-73.91999983214988, 40.81868306342196]","[-73.93333317169989, 40.81868306342196]","[-73.93999984147489, 40.830230074189544]"
30,20.0,31.0,230.0,19.0,29.0,229.0,"[-73.91333316237488, 40.85332409572472]","[-73.91999983214988, 40.86487110649231]","[-73.93333317169989, 40.86487110649231]","[-73.91999983214988, 40.84177708495713]","[-73.93333317169989, 40.84177708495713]","[-73.93999984147489, 40.85332409572472]"
31,,,,20.0,30.0,230.0,"[-73.91333316237488, 40.876418117259895]","[-73.91999983214988, 40.88796512802748]","[-73.93333317169989, 40.88796512802748]","[-73.91999983214988, 40.86487110649231]","[-73.93333317169989, 40.86487110649231]","[-73.93999984147489, 40.876418117259895]"
32,21.0,33.0,232.0,,,231.0,"[-74.15333327427496, 40.53000779423227]","[-74.15999994404996, 40.541554804999855]","[-74.17333328359997, 40.541554804999855]","[-74.15999994404996, 40.51846078346468]","[-74.17333328359997, 40.51846078346468]","[-74.17999995337497, 40.53000779423227]"
33,22.0,34.0,233.0,21.0,32.0,232.0,"[-74.15333327427496, 40.55310181576744]","[-74.15999994404996, 40.564648826535034]","[-74.17333328359997, 40.564648826535034]","[-74.15999994404996, 40.541554804999855]","[-74.17333328359997, 40.541554804999855]","[-74.17999995337497, 40.55310181576744]"
34,23.0,35.0,234.0,22.0,33.0,233.0,"[-74.15333327427496, 40.57619583730262]","[-74.15999994404996, 40.58774284807021]","[-74.17333328359997, 40.58774284807021]","[-74.15999994404996, 40.564648826535034]","[-74.17333328359997, 40.564648826535034]","[-74.17999995337497, 40.57619583730262]"
35,57.0,36.0,235.0,23.0,34.0,234.0,"[-74.15333327427496, 40.59928985883779]","[-74.15999994404996, 40.61083686960538]","[-74.17333328359997, 40.61083686960538]","[-74.15999994404996, 40.58774284807021]","[-74.17333328359997, 40.58774284807021]","[-74.17999995337497, 40.59928985883779]"
36,59.0,38.0,237.0,57.0,35.0,235.0,"[-74.15333327427496, 40.62238388037297]","[-74.15999994404996, 40.63393089114056]","[-74.17333328359997, 40.63393089114056]","[-74.15999994404996, 40.61083686960538]","[-74.17333328359997, 40.61083686960538]","[-74.17999995337497, 40.62238388037297]"
37,58.0,39.0,236.0,,,,"[-73.89333315304988, 40.541554804999855]","[-73.89999982282488, 40.55310181576744]","[-73.91333316237488, 40.55310181576744]","[-73.89999982282488, 40.53000779423227]","[-73.91333316237488, 40.53000779423227]","[-73.91999983214988, 40.541554804999855]"
38,,,,59.0,36.0,237.0,"[-74.15333327427496, 40.645477901908144]","[-74.15999994404996, 40.65702491267573]","[-74.17333328359997, 40.65702491267573]","[-74.15999994404996, 40.63393089114056]","[-74.17333328359997, 40.63393089114056]","[-74.17999995337497, 40.645477901908144]"
39,60.0,40.0,238.0,58.0,37.0,236.0,"[-73.89333315304988, 40.564648826535034]","[-73.89999982282488, 40.57619583730262]","[-73.91333316237488, 40.57619583730262]","[-73.89999982282488, 40.55310181576744]","[-73.91333316237488, 40.55310181576744]","[-73.91999983214988, 40.564648826535034]"
40,61.0,9.0,239.0,60.0,39.0,238.0,"[-73.89333315304988, 40.58774284807021]","[-73.89999982282488, 40.59928985883779]","[-73.91333316237488, 40.59928985883779]","[-73.89999982282488, 40.57619583730262]","[-73.91333316237488, 40.57619583730262]","[-73.91999983214988, 40.58774284807021]"
41,92.0,42.0,21.0,,,,"[-74.11333325562495, 40.53000779423227]","[-74.11999992539995, 40.541554804999855]","[-74.13333326494995, 40.541554804999855]","[-74.11999992539995, 40.51846078346468]","[-74.13333326494995, 40.51846078346468]","[-74.13999993472495, 40.53000779423227]"
42,93.0,43.0,22.0,92.0,41.0,21.0,"[-74.11333325562495, 40.55310181576744]","[-74.11999992539995, 40.564648826535034]","[-74.13333326494995, 40.564648826535034]","[-74.11999992539995, 40.541554804999855]","[-74.13333326494995, 40.541554804999855]","[-74.13999993472495, 40.55310181576744]"
43,94.0,44.0,23.0,93.0,42.0,22.0,"[-74.11333325562495, 40.57619583730262]","[-74.11999992539995, 40.58774284807021]","[-74.13333326494995, 40.58774284807021]","[-74.11999992539995, 40.564648826535034]","[-74.13333326494995, 40.564648826535034]","[-74.13999993472495, 40.57619583730262]"
44,95.0,45.0,57.0,94.0,43.0,23.0,"[-74.11333325562495, 40.59928985883779]","[-74.11999992539995, 40.61083686960538]","[-74.13333326494995, 40.61083686960538]","[-74.11999992539995, 40.58774284807021]","[-74.13333326494995, 40.58774284807021]","[-74.13999993472495, 40.59928985883779]"
45,96.0,46.0,59.0,95.0,44.0,57.0,"[-74.11333325562495, 40.62238388037297]","[-74.11999992539995, 40.63393089114056]","[-74.13333326494995, 40.63393089114056]","[-74.11999992539995, 40.61083686960538]","[-74.13333326494995, 40.61083686960538]","[-74.13999993472495, 40.62238388037297]"
46,98.0,,,96.0,45.0,59.0,"[-74.11333325562495, 40.645477901908144]","[-74.11999992539995, 40.65702491267573]","[-74.13333326494995, 40.65702491267573]","[-74.11999992539995, 40.63393089114056]","[-74.13333326494995, 40.63393089114056]","[-74.13999993472495, 40.645477901908144]"
47,97.0,48.0,60.0,,,58.0,"[-73.85333313439986, 40.564648826535034]","[-73.85999980417486, 40.57619583730262]","[-73.87333314372486, 40.57619583730262]","[-73.85999980417486, 40.55310181576744]","[-73.87333314372486, 40.55310181576744]","[-73.87999981349986, 40.564648826535034]"
48,99.0,49.0,61.0,97.0,47.0,60.0,"[-73.85333313439986, 40.58774284807021]","[-73.85999980417486, 40.59928985883779]","[-73.87333314372486, 40.59928985883779]","[-73.85999980417486, 40.57619583730262]","[-73.87333314372486, 40.57619583730262]","[-73.87999981349986, 40.58774284807021]"
49,100.0,50.0,62.0,99.0,48.0,61.0,"[-73.85333313439986, 40.61083686960538]","[-73.85999980417486, 40.62238388037297]","[-73.87333314372486, 40.62238388037297]","[-73.85999980417486, 40.59928985883779]","[-73.87333314372486, 40.59928985883779]","[-73.87999981349986, 40.61083686960538]"
50,101.0,51.0,63.0,100.0,49.0,62.0,"[-73.85333313439986, 40.63393089114056]","[-73.85999980417486, 40.645477901908144]","[-73.87333314372486, 40.645477901908144]","[-73.85999980417486, 40.62238388037297]","[-73.87333314372486, 40.62238388037297]","[-73.87999981349986, 40.63393089114056]"
51,102.0,52.0,64.0,101.0,50.0,63.0,"[-73.85333313439986, 40.65702491267573]","[-73.85999980417486, 40.66857192344332]","[-73.87333314372486, 40.66857192344332]","[-73.85999980417486, 40.645477901908144]","[-73.87333314372486, 40.645477901908144]","[-73.87999981349986, 40.65702491267573]"
