"","b"
"0.pickup_hour","0"
"1.pickup_hour","456.0577"
"2.pickup_hour","444.7775"
"3.pickup_hour","415.2301"
"4.pickup_hour","313.5332"
"5.pickup_hour","134.865"
"6.pickup_hour","342.0561"
"7.pickup_hour","534.242"
"8.pickup_hour","686.7999"
"9.pickup_hour","680.8121"
"10.pickup_hour","706.1812"
"11.pickup_hour","735.0864"
"12.pickup_hour","712.2831"
"13.pickup_hour","706.1038"
"14.pickup_hour","768.2285"
"15.pickup_hour","870.2703"
"16.pickup_hour","846.3244"
"17.pickup_hour","813.4303"
"18.pickup_hour","678.357"
"19.pickup_hour","633.1545"
"20.pickup_hour","631.4582"
"21.pickup_hour","610.8228"
"22.pickup_hour","622.2907"
"23.pickup_hour","645.0262"
"straight_line_distance","192.0354"
