"","b"
"0.pickup_hour","0"
"1.pickup_hour","5.954263"
"2.pickup_hour","5.792057"
"3.pickup_hour","5.67233"
"4.pickup_hour","5.341807"
"5.pickup_hour","4.656705"
"6.pickup_hour","4.977062"
"7.pickup_hour","5.728655"
"8.pickup_hour","6.678349"
"9.pickup_hour","6.940937"
"10.pickup_hour","7.014194"
"11.pickup_hour","7.11493"
"12.pickup_hour","7.100285"
"13.pickup_hour","6.951066"
"14.pickup_hour","7.188367"
"15.pickup_hour","7.446211"
"16.pickup_hour","7.26961"
"17.pickup_hour","7.340597"
"18.pickup_hour","6.601918"
"19.pickup_hour","6.409112"
"20.pickup_hour","6.460216"
"21.pickup_hour","6.413286"
"22.pickup_hour","6.623934"
"23.pickup_hour","6.894335"
"straight_line_distance","3.401"
