"","b"
"0.pickup_hour","0"
"1.pickup_hour",".8344543"
"2.pickup_hour",".8435881"
"3.pickup_hour",".8577924"
"4.pickup_hour",".7835697"
"5.pickup_hour",".6129649"
"6.pickup_hour",".5405034"
"7.pickup_hour",".4938298"
"8.pickup_hour",".4665539"
"9.pickup_hour",".4471535"
"10.pickup_hour",".4579097"
"11.pickup_hour",".4802538"
"12.pickup_hour",".4425303"
"13.pickup_hour",".4699022"
"14.pickup_hour",".4755417"
"15.pickup_hour",".458951"
"16.pickup_hour",".4627283"
"17.pickup_hour",".4798864"
"18.pickup_hour",".4968052"
"19.pickup_hour",".5364189"
"20.pickup_hour",".612906"
"21.pickup_hour",".8946044"
"22.pickup_hour",".7348176"
"23.pickup_hour",".8294468"
"straight_line_distance","1.257343"
