"","b"
"0.pickup_hour","0"
"1.pickup_hour","452.5637"
"2.pickup_hour","489.0386"
"3.pickup_hour","376.1246"
"4.pickup_hour","393.1174"
"5.pickup_hour","238.7803"
"6.pickup_hour","374.383"
"7.pickup_hour","593.5733"
"8.pickup_hour","770.1211"
"9.pickup_hour","777.7117"
"10.pickup_hour","741.5729"
"11.pickup_hour","718.657"
"12.pickup_hour","720.9609"
"13.pickup_hour","682.9812"
"14.pickup_hour","717.0536"
"15.pickup_hour","719.5298"
"16.pickup_hour","712.2419"
"17.pickup_hour","689.8612"
"18.pickup_hour","664.8593"
"19.pickup_hour","585.4393"
"20.pickup_hour","546.0232"
"21.pickup_hour","496.9557"
"22.pickup_hour","489.1915"
"23.pickup_hour","457.44"
"straight_line_distance","167.0363"
