"","b"
"0.pickup_hour","0"
"1.pickup_hour","5.773433"
"2.pickup_hour","5.689693"
"3.pickup_hour","5.70009"
"4.pickup_hour","5.393738"
"5.pickup_hour","4.915346"
"6.pickup_hour","5.068312"
"7.pickup_hour","6.089388"
"8.pickup_hour","7.158185"
"9.pickup_hour","7.389625"
"10.pickup_hour","7.183121"
"11.pickup_hour","7.053818"
"12.pickup_hour","6.986948"
"13.pickup_hour","6.697389"
"14.pickup_hour","6.782909"
"15.pickup_hour","6.776292"
"16.pickup_hour","6.550112"
"17.pickup_hour","6.448467"
"18.pickup_hour","6.383534"
"19.pickup_hour","6.076223"
"20.pickup_hour","5.998186"
"21.pickup_hour","5.968099"
"22.pickup_hour","6.007734"
"23.pickup_hour","6.007647"
"straight_line_distance","3.336297"
