"","b"
"0.pickup_hour","0"
"1.pickup_hour",".7994528"
"2.pickup_hour",".7968315"
"3.pickup_hour",".7801403"
"4.pickup_hour",".6994335"
"5.pickup_hour",".5501004"
"6.pickup_hour",".5000969"
"7.pickup_hour",".4986791"
"8.pickup_hour",".45677"
"9.pickup_hour",".4261804"
"10.pickup_hour",".4505156"
"11.pickup_hour",".4680993"
"12.pickup_hour",".4554062"
"13.pickup_hour",".4624957"
"14.pickup_hour",".4553519"
"15.pickup_hour",".4675172"
"16.pickup_hour",".4489879"
"17.pickup_hour",".4404313"
"18.pickup_hour",".4721038"
"19.pickup_hour",".520064"
"20.pickup_hour",".6224294"
"21.pickup_hour",".7059481"
"22.pickup_hour",".7520317"
"23.pickup_hour",".8165171"
"straight_line_distance","1.276517"
