"","b"
"0.pickup_hour","0"
"1.pickup_hour","6.352898"
"2.pickup_hour","6.189465"
"3.pickup_hour","6.164056"
"4.pickup_hour","5.958357"
"5.pickup_hour","5.455401"
"6.pickup_hour","5.022801"
"7.pickup_hour","4.986878"
"8.pickup_hour","5.251801"
"9.pickup_hour","5.626743"
"10.pickup_hour","5.948892"
"11.pickup_hour","6.416837"
"12.pickup_hour","6.711117"
"13.pickup_hour","6.834312"
"14.pickup_hour","6.925969"
"15.pickup_hour","6.743466"
"16.pickup_hour","6.764491"
"17.pickup_hour","6.9511"
"18.pickup_hour","7.158801"
"19.pickup_hour","7.255385"
"20.pickup_hour","6.951431"
"21.pickup_hour","6.680527"
"22.pickup_hour","6.959254"
"23.pickup_hour","7.183134"
"straight_line_distance","3.372629"
