"","b"
"0.pickup_hour","0"
"1.pickup_hour","2.365422"
"2.pickup_hour","2.40854"
"3.pickup_hour","2.549301"
"4.pickup_hour","2.848498"
"5.pickup_hour","3.463107"
"6.pickup_hour","3.320023"
"7.pickup_hour","2.730395"
"8.pickup_hour","2.255457"
"9.pickup_hour","2.00642"
"10.pickup_hour","2.048902"
"11.pickup_hour","2.080198"
"12.pickup_hour","2.050798"
"13.pickup_hour","2.104292"
"14.pickup_hour","2.170728"
"15.pickup_hour","2.167378"
"16.pickup_hour","142.5004"
"17.pickup_hour","2.129292"
"18.pickup_hour","2.05415"
"19.pickup_hour","1.994662"
"20.pickup_hour","2.062224"
"21.pickup_hour","2.101806"
"22.pickup_hour","2.172466"
"23.pickup_hour","2.2467"
"straight_line_distance",".5283926"
