"","b"
"0.pickup_hour","0"
"1.pickup_hour","643.0463"
"2.pickup_hour","625.8689"
"3.pickup_hour","586.1929"
"4.pickup_hour","538.8517"
"5.pickup_hour","345.1532"
"6.pickup_hour","275.2411"
"7.pickup_hour","292.4115"
"8.pickup_hour","344.0873"
"9.pickup_hour","421.73"
"10.pickup_hour","518.9614"
"11.pickup_hour","591.9382"
"12.pickup_hour","620.2073"
"13.pickup_hour","655.0679"
"14.pickup_hour","674.4054"
"15.pickup_hour","725.6792"
"16.pickup_hour","742.6876"
"17.pickup_hour","747.4946"
"18.pickup_hour","672.7353"
"19.pickup_hour","650.4397"
"20.pickup_hour","604.8161"
"21.pickup_hour","549.6066"
"22.pickup_hour","488.5804"
"23.pickup_hour","468.7321"
"straight_line_distance","162.8033"
