"","b"
"0.pickup_hour","0"
"1.pickup_hour","6.426772"
"2.pickup_hour","6.277568"
"3.pickup_hour","6.291883"
"4.pickup_hour","6.023104"
"5.pickup_hour","5.756795"
"6.pickup_hour","5.366561"
"7.pickup_hour","5.005153"
"8.pickup_hour","5.065379"
"9.pickup_hour","5.273865"
"10.pickup_hour","5.618674"
"11.pickup_hour","6.03127"
"12.pickup_hour","6.336541"
"13.pickup_hour","6.409149"
"14.pickup_hour","6.550718"
"15.pickup_hour","6.56513"
"16.pickup_hour","6.615027"
"17.pickup_hour","6.685936"
"18.pickup_hour","6.384981"
"19.pickup_hour","6.321589"
"20.pickup_hour","6.024251"
"21.pickup_hour","5.928316"
"22.pickup_hour","5.934016"
"23.pickup_hour","5.859053"
"straight_line_distance","3.347831"
