"","b"
"0.pickup_hour","0"
"1.pickup_hour",".8887996"
"2.pickup_hour",".933963"
"3.pickup_hour",".9843612"
"4.pickup_hour",".9478968"
"5.pickup_hour",".9576815"
"6.pickup_hour",".8481202"
"7.pickup_hour",".7331189"
"8.pickup_hour",".6102272"
"9.pickup_hour",".6052658"
"10.pickup_hour",".5982594"
"11.pickup_hour",".5983389"
"12.pickup_hour",".5973194"
"13.pickup_hour",".6042835"
"14.pickup_hour",".9414998"
"15.pickup_hour",".6179761"
"16.pickup_hour",".6237438"
"17.pickup_hour",".6348028"
"18.pickup_hour",".6105623"
"19.pickup_hour",".637435"
"20.pickup_hour",".6852285"
"21.pickup_hour",".7424183"
"22.pickup_hour",".8009128"
"23.pickup_hour",".8534688"
"straight_line_distance","1.241189"
