"","b"
"0.pickup_hour","0"
"1.pickup_hour","413.3656"
"2.pickup_hour","376.557"
"3.pickup_hour","404.113"
"4.pickup_hour","233.7611"
"5.pickup_hour","176.3462"
"6.pickup_hour","328.1581"
"7.pickup_hour","573.5216"
"8.pickup_hour","726.8992"
"9.pickup_hour","752.8374"
"10.pickup_hour","778.8374"
"11.pickup_hour","801.1761"
"12.pickup_hour","770.4435"
"13.pickup_hour","779.1749"
"14.pickup_hour","825.9863"
"15.pickup_hour","866.4111"
"16.pickup_hour","821.0119"
"17.pickup_hour","829.3894"
"18.pickup_hour","768.6476"
"19.pickup_hour","679.0713"
"20.pickup_hour","613.237"
"21.pickup_hour","567.6491"
"22.pickup_hour","567.3515"
"23.pickup_hour","556.6707"
"straight_line_distance","197.6838"
