"","b"
"0.pickup_hour","0"
"1.pickup_hour","5.7896"
"2.pickup_hour","5.66269"
"3.pickup_hour","5.518426"
"4.pickup_hour","5.248258"
"5.pickup_hour","4.56343"
"6.pickup_hour","4.86898"
"7.pickup_hour","6.028813"
"8.pickup_hour","7.252967"
"9.pickup_hour","7.488234"
"10.pickup_hour","7.573238"
"11.pickup_hour","7.689379"
"12.pickup_hour","7.584817"
"13.pickup_hour","7.567978"
"14.pickup_hour","7.768669"
"15.pickup_hour","7.788171"
"16.pickup_hour","7.51327"
"17.pickup_hour","7.557576"
"18.pickup_hour","7.253589"
"19.pickup_hour","6.783986"
"20.pickup_hour","6.710836"
"21.pickup_hour","6.640524"
"22.pickup_hour","6.843751"
"23.pickup_hour","6.85157"
"straight_line_distance","3.376622"
