"","b"
"0.pickup_hour","0"
"1.pickup_hour","-6.85717"
"2.pickup_hour","-6.844821"
"3.pickup_hour","-7.565489"
"4.pickup_hour","-10.33678"
"5.pickup_hour","-11.02306"
"6.pickup_hour","-8.12415"
"7.pickup_hour","-6.559231"
"8.pickup_hour","-3.932133"
"9.pickup_hour","-6.103778"
"10.pickup_hour","-6.384947"
"11.pickup_hour","-6.87275"
"12.pickup_hour","84.89501"
"13.pickup_hour","-7.617596"
"14.pickup_hour","-7.385192"
"15.pickup_hour","-8.20589"
"16.pickup_hour","-8.116356"
"17.pickup_hour","-7.13766"
"18.pickup_hour","-6.578415"
"19.pickup_hour","-6.331226"
"20.pickup_hour","-6.413631"
"21.pickup_hour","-6.574095"
"22.pickup_hour","-6.758283"
"23.pickup_hour","-6.844463"
"straight_line_distance","4.491199"
