"","b"
"0.pickup_hour","0"
"1.pickup_hour","414.6391"
"2.pickup_hour","399.4651"
"3.pickup_hour","422.0468"
"4.pickup_hour","225.9382"
"5.pickup_hour","164.7789"
"6.pickup_hour","321.2777"
"7.pickup_hour","559.8019"
"8.pickup_hour","752.0492"
"9.pickup_hour","776.1431"
"10.pickup_hour","796.9"
"11.pickup_hour","794.7943"
"12.pickup_hour","788.638"
"13.pickup_hour","738.3684"
"14.pickup_hour","769.6336"
"15.pickup_hour","789.573"
"16.pickup_hour","765.5956"
"17.pickup_hour","738.0387"
"18.pickup_hour","663.5814"
"19.pickup_hour","580.6744"
"20.pickup_hour","539.1531"
"21.pickup_hour","536.2229"
"22.pickup_hour","554.3295"
"23.pickup_hour","541.6641"
"straight_line_distance","176.7366"
