"","b"
"0.pickup_hour","0"
"1.pickup_hour","5.746023"
"2.pickup_hour","5.657683"
"3.pickup_hour","5.589892"
"4.pickup_hour","5.196167"
"5.pickup_hour","4.607727"
"6.pickup_hour","4.801853"
"7.pickup_hour","5.876625"
"8.pickup_hour","7.101184"
"9.pickup_hour","7.561036"
"10.pickup_hour","7.55"
"11.pickup_hour","7.520301"
"12.pickup_hour","7.42937"
"13.pickup_hour","7.239526"
"14.pickup_hour","7.281649"
"15.pickup_hour","7.172395"
"16.pickup_hour","6.961329"
"17.pickup_hour","6.753876"
"18.pickup_hour","6.421429"
"19.pickup_hour","6.086326"
"20.pickup_hour","6.075174"
"21.pickup_hour","6.213835"
"22.pickup_hour","6.400895"
"23.pickup_hour","6.286767"
"straight_line_distance","3.354351"
