"","b"
"0.pickup_hour","0"
"1.pickup_hour",".8573044"
"2.pickup_hour",".8415853"
"3.pickup_hour",".8194399"
"4.pickup_hour",".7103805"
"5.pickup_hour",".5457829"
"6.pickup_hour",".4869781"
"7.pickup_hour",".4888696"
"8.pickup_hour",".460816"
"9.pickup_hour",".435571"
"10.pickup_hour",".4424547"
"11.pickup_hour",".4551088"
"12.pickup_hour",".4254146"
"13.pickup_hour",".4388014"
"14.pickup_hour",".455797"
"15.pickup_hour",".4223857"
"16.pickup_hour",".4295514"
"17.pickup_hour",".4252878"
"18.pickup_hour",".4335473"
"19.pickup_hour",".5294703"
"20.pickup_hour",".680253"
"21.pickup_hour",".7250634"
"22.pickup_hour",".802517"
"23.pickup_hour",".8318381"
"straight_line_distance","1.260816"
