"","b"
"0.pickup_hour","0"
"1.pickup_hour","417.9937"
"2.pickup_hour","478.2593"
"3.pickup_hour","378.1289"
"4.pickup_hour","335.5682"
"5.pickup_hour","157.676"
"6.pickup_hour","330.1274"
"7.pickup_hour","560.9215"
"8.pickup_hour","727.8491"
"9.pickup_hour","777.2125"
"10.pickup_hour","804.0096"
"11.pickup_hour","847.5797"
"12.pickup_hour","831.2611"
"13.pickup_hour","809.6075"
"14.pickup_hour","801.4962"
"15.pickup_hour","876.9771"
"16.pickup_hour","887.5507"
"17.pickup_hour","845.2012"
"18.pickup_hour","758.2187"
"19.pickup_hour","634.326"
"20.pickup_hour","579.1608"
"21.pickup_hour","559.5824"
"22.pickup_hour","572.305"
"23.pickup_hour","514.7486"
"straight_line_distance","188.5772"
