"","b"
"0.pickup_hour","0"
"1.pickup_hour","5.72806"
"2.pickup_hour","5.618127"
"3.pickup_hour","5.662812"
"4.pickup_hour","5.271273"
"5.pickup_hour","4.528481"
"6.pickup_hour","4.867659"
"7.pickup_hour","5.947813"
"8.pickup_hour","7.110947"
"9.pickup_hour","7.533371"
"10.pickup_hour","7.588937"
"11.pickup_hour","7.897681"
"12.pickup_hour","7.791476"
"13.pickup_hour","7.564669"
"14.pickup_hour","7.602417"
"15.pickup_hour","7.6639"
"16.pickup_hour","7.578513"
"17.pickup_hour","7.5838"
"18.pickup_hour","6.985571"
"19.pickup_hour","6.454779"
"20.pickup_hour","6.332979"
"21.pickup_hour","6.40044"
"22.pickup_hour","6.660646"
"23.pickup_hour","6.483805"
"straight_line_distance","3.373973"
