"","b"
"0.pickup_hour","0"
"1.pickup_hour","1.688144"
"2.pickup_hour","1.696474"
"3.pickup_hour","1.790279"
"4.pickup_hour","1.990298"
"5.pickup_hour","1.841711"
"6.pickup_hour","1.452014"
"7.pickup_hour","1.274035"
"8.pickup_hour","87.48953"
"9.pickup_hour","1.162949"
"10.pickup_hour","1.183261"
"11.pickup_hour","1.234681"
"12.pickup_hour","1.237293"
"13.pickup_hour","1.306097"
"14.pickup_hour","1.352233"
"15.pickup_hour","1.335984"
"16.pickup_hour","1.366138"
"17.pickup_hour","1.262199"
"18.pickup_hour","1.201348"
"19.pickup_hour","1.2777"
"20.pickup_hour","1.413041"
"21.pickup_hour","1.540655"
"22.pickup_hour","1.641635"
"23.pickup_hour","1.716893"
"straight_line_distance",".896585"
